3, 1024
351509.710751, 1076247.890419, 5000.000000
351509.710846, 923752.082446, 5000.000000
296980.578307, 1000000.000000, 5000.000000
351509.710846, 1076247.917554, 5000.000000
351509.710894, 923752.068879, 5000.000000
296980.578212, 1000000.000000, 5000.000000
351509.710894, 1076247.931121, 5000.000000
351509.710918, 923752.062095, 5000.000000
296980.578164, 1000000.000000, 5000.000000
351509.710918, 1076247.937905, 5000.000000
351509.710930, 923752.058703, 5000.000000
296980.578140, 1000000.000000, 5000.000000
351509.710930, 1076247.941297, 5000.000000
351509.710936, 923752.057007, 5000.000000
296980.578128, 1000000.000000, 5000.000000
351509.710936, 1076247.942992, 5000.000000
351509.710939, 923752.056160, 5000.000000
296980.578122, 1000000.000000, 5000.000000
351509.710939, 1076247.943840, 5000.000000
351509.710940, 923752.055736, 5000.000000
296980.578119, 1000000.000000, 5000.000000
351509.710940, 1076247.944264, 5000.000000
351509.710941, 923752.055524, 5000.000000
296980.578118, 1000000.000000, 5000.000000
351509.710941, 1076247.944476, 5000.000000
351509.710941, 923752.055418, 5000.000000
296980.578117, 1000000.000000, 5000.000000
351509.710941, 1076247.944582, 5000.000000
351509.710942, 923752.055365, 5000.000000
296980.578117, 1000000.000000, 5000.000000
351509.710942, 1076247.944635, 5000.000000
351509.710942, 923752.055338, 5000.000000
296980.578117, 1000000.000000, 5000.000000
351509.710942, 1076247.944662, 5000.000000
351509.710942, 923752.055325, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944675, 5000.000000
351509.710942, 923752.055318, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944682, 5000.000000
351509.710942, 923752.055315, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944685, 5000.000000
351509.710942, 923752.055313, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944687, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
351509.710942, 1076247.944688, 5000.000000
351509.710942, 923752.055312, 5000.000000
296980.578116, 1000000.000000, 5000.000000
